Date,TWD,TWS
2016-09-25 10:38:08,274,26.7699
2016-09-25 10:38:12,270,25.6499
2016-09-25 10:38:16,243,22.2564
2016-09-25 10:38:20,324,29.5825
2016-09-25 10:38:28,272,31.1461
2016-09-25 10:38:31,283,32.3532
2016-09-25 10:38:35,291,31.9117
2016-09-25 10:38:39,246,27.5183
2016-09-25 10:38:43,251,27.5271
2016-09-25 10:38:47,233,24.1245
2016-09-25 10:38:51,278,27.1568
2016-09-25 10:38:55,274,24.9693
2016-09-25 10:38:59,243,23.1692
2016-09-25 10:39:03,299,27.7359
2016-09-25 10:39:07,258,23.6938
2016-09-25 10:39:11,258,22.8232
2016-09-25 10:39:15,250,22.4298
2016-09-25 10:39:24,296,19.6105
2016-09-25 10:39:28,295,16.6145
2016-09-25 10:39:32,279,15.5062
2016-09-25 10:39:36,267,17.6707
2016-09-25 10:39:40,254,18.1093
2016-09-25 10:39:44,266,18.7934
2016-09-25 10:39:48,228,20.0575
2016-09-25 10:39:52,254,16.9457
2016-09-25 10:39:56,303,17.0624
2016-09-25 10:40:00,287,13.8276
2016-09-25 10:40:04,238,15.9729
2016-09-25 10:40:08,311,16.0894
2016-09-25 10:40:12,292,17.4438
2016-09-25 10:40:16,277,24.8564
2016-09-25 10:40:20,245,25.119
2016-09-25 10:40:24,259,20.9046
2016-09-25 10:40:28,304,17.541
2016-09-25 10:40:32,283,17.2223
2016-09-25 10:40:36,257,20.447
2016-09-25 10:40:40,260,19.5167
2016-09-25 10:40:44,296,18.2499
2016-09-25 10:40:48,279,20.4014
2016-09-25 10:40:52,247,21.4856
2016-09-25 10:40:56,294,20.2474
2016-09-25 10:41:00,280,23.3257
2016-09-25 10:41:04,266,22.1598
2016-09-25 10:41:08,221,24.4853
2016-09-25 10:41:12,261,22.6299
2016-09-25 10:41:16,261,23.4341
2016-09-25 10:41:20,267,21.0992
2016-09-25 10:41:24,272,19.6306
2016-09-25 10:41:28,338,18.5493
2016-09-25 10:41:32,285,17.7376
2016-09-25 10:41:36,320,16.8689
2016-09-25 10:41:40,288,14.8141
2016-09-25 10:41:44,273,15.1038
2016-09-25 10:41:48,261,18.1199
2016-09-25 10:41:53,266,16.1493
2016-09-25 10:41:57,264,20.8371
2016-09-25 10:42:01,280,23.0164
2016-09-25 10:42:05,256,19.9203
2016-09-25 10:42:09,280,21.8493
2016-09-25 10:42:13,334,26.9418
2016-09-25 10:42:17,303,28.8047
2016-09-25 10:42:21,304,27.4038
2016-09-25 10:42:25,261,28.9142
2016-09-25 10:42:29,265,28.7698
2016-09-25 10:42:33,293,29.4927
2016-09-25 10:42:37,272,25.033
2016-09-25 10:42:41,278,22.7123
2016-09-25 10:42:45,205,13.551
2016-09-25 10:42:49,258,17.8701
2016-09-25 10:42:53,245,15.5125
2016-09-25 10:42:57,274,16.893
2016-09-25 10:43:01,254,16.3873
2016-09-25 10:43:05,251,15.5624
2016-09-25 10:43:09,284,18.6126
2016-09-25 10:43:13,252,17.5224
2016-09-25 10:43:17,262,23.0998
2016-09-25 10:43:21,261,25.8845
2016-09-25 10:43:25,262,25.3916
2016-09-25 10:43:29,261,24.5224
2016-09-25 10:43:33,258,23.8612
2016-09-25 10:43:37,254,23.3955
2016-09-25 10:43:41,271,22.5905
2016-09-25 10:43:45,266,21.6971
2016-09-25 10:43:49,245,20.3366
2016-09-25 10:43:53,253,25.3351
2016-09-25 10:43:57,247,23.5826
2016-09-25 10:44:01,270,22.977
2016-09-25 10:44:05,295,25.9181
2016-09-25 10:44:09,300,22.0899
2016-09-25 10:44:13,331,27.054
2016-09-25 10:44:17,316,24.3412
2016-09-25 10:44:22,325,25.8435
2016-09-25 10:44:26,327,25.896
2016-09-25 10:44:30,288,21.2336
2016-09-25 10:44:34,316,26.6519
2016-09-25 10:44:38,313,21.9644
2016-09-25 10:44:42,315,20.8204
2016-09-25 10:44:46,340,22.5159
2016-09-25 10:44:50,300,22.7426
2016-09-25 10:44:54,278,25.3238
2016-09-25 10:44:58,249,26.6778
2016-09-25 10:45:02,356,32.9756
2016-09-25 10:45:06,289,27.6921
2016-09-25 10:45:10,303,26.9952
2016-09-25 10:45:14,308,26.392
2016-09-25 10:45:18,318,27.1321
2016-09-25 10:45:22,266,22.5472
2016-09-25 10:45:26,274,24.0333
2016-09-25 10:45:30,255,23.8694
2016-09-25 10:45:38,343,31.8353
2016-09-25 10:45:42,274,25.662
2016-09-25 10:45:46,289,26.0025
2016-09-25 10:45:50,276,25.1745
2016-09-25 10:45:54,321,27.7233
2016-09-25 10:45:58,306,27.3148
2016-09-25 10:46:02,322,28.4172
2016-09-25 10:46:06,241,18.6994
2016-09-25 10:46:10,260,21.03
2016-09-25 10:46:14,247,19.1158
2016-09-25 10:46:18,258,20.014
2016-09-25 10:46:22,249,19.7666
2016-09-25 10:46:26,315,26.4805
2016-09-25 10:46:30,331,27.4654
2016-09-25 10:46:34,257,21.0971
2016-09-25 10:46:38,259,21.7237
2016-09-25 10:46:42,265,21.3131
2016-09-25 10:46:46,270,23.9084
2016-09-25 10:46:51,352,30.4095
2016-09-25 10:46:55,290,24.2782
2016-09-25 10:46:59,308,26.1982
2016-09-25 10:47:03,295,26.4444
2016-09-25 10:47:07,253,22.2628
2016-09-25 10:47:11,307,25.4172
2016-09-25 10:47:15,316,27.5362
2016-09-25 10:47:19,279,24.4084
2016-09-25 10:47:23,245,22.1608
2016-09-25 10:47:27,344,31.5868
2016-09-25 10:47:31,281,25.1525
2016-09-25 10:47:35,310,27.0884
2016-09-25 10:47:39,249,21.5987
2016-09-25 10:47:43,246,25.5352
2016-09-25 10:47:47,273,28.972
2016-09-25 10:47:51,299,35.3942
2016-09-25 10:47:55,244,27.351
2016-09-25 10:47:59,278,29.8092
2016-09-25 10:48:03,256,23.9252
2016-09-25 10:48:07,266,23.4963
2016-09-25 10:48:11,239,21.0141
2016-09-25 10:48:15,271,21.7467
2016-09-25 10:48:19,257,21.1653
2016-09-25 10:48:23,263,22.3725
2016-09-25 10:48:27,270,24.2634
2016-09-25 10:48:31,347,31.1018
